公司全称是什么?	XX科技有限公司，简称"XX科技"，英文名称XX Tech Co., Ltd.
公司什么时候成立的?	XX科技于20XX年X月XX日在某市高新区注册成立，至今已运营超过10年。
公司的注册资本是多少?	XX科技注册资本为人民币X亿元（XX,XXX万元），已全额实缴。
公司总部在哪里?	公司注册地址为某市高新区XX路XX号A栋XX室，主要办公地点位于某市XX区XX路XXXX号XX商务中心X座XX层。
公司有哪些金融牌照?	XX科技持有中国证监会颁发的基金销售牌照、中国银保监会批准的保险经纪牌照、以及证券投资咨询业务资格，是持牌综合金融服务机构。此外还持有私募基金管理人登记资格和QDII资格。
公司业务覆盖哪些城市?	XX科技在全国XX个核心城市设有XX家营业网点，涵盖一线和新一线城市。
公司目前的管理资产规模（AUM）是多少?	截至20XX年XX月底，XX科技管理资产规模（AUM）超过XXX亿元人民币，年均复合增长率超过XX%。
公司服务多少客户?	XX科技注册用户超过XXX万，有效客户超过XXX万，线下累计服务客户超过XX万人。
公司的客服电话是多少?	XX科技客户服务热线为400-XXX-XXXX，服务时间为每天7:00-22:00（7×12小时），VIP客户享有7×24小时专属热线。
公司的官方网站是什么?	XX科技官方网站为www.xxtech.com，客户也可通过"XX科技"APP（iOS/Android）办理业务。
基金和理财产品有什么区别?	基金是由基金公司发行和管理的投资产品，通过XX科技等代销渠道销售，净值每日公布，申赎灵活；理财产品通常由银行理财子公司发行，有固定期限和业绩比较基准，起购金额和期限各有不同。基金产品种类更丰富，覆盖货币型、债券型、混合型、股票型等多种风险等级。
货币基金和债券基金有什么区别?	货币基金主要投资短期货币工具（如国债逆回购、银行存单），风险等级R1，收益稳定但较低，七日年化约2.0%左右，适合存放闲余资金；债券基金主要投资国债、企业债等固定收益资产，风险等级R2，收益略高（近一年约4-5%），但可能存在短期净值波动。
R1到R5风险等级是什么意思?	这是金融产品风险等级分类：R1（低风险）如货币基金；R2（中低风险）如纯债基金、银行定期理财；R3（中风险）如混合基金、平衡型理财；R4（中高风险）如股票基金、QDII；R5（高风险）如期货、期权、私募股权。风险等级越高，潜在收益越大，但本金损失风险也越高。
基金的起投金额是多少?	不同类型的基金起投金额不同：货币基金1元起投，债券基金1000元起投，混合基金5000元起投，股票基金1万元起投，QDII基金5万元起投。具体以产品说明书为准。
基金申购后多久确认?	交易日15:00前提交的申购申请，T+1日确认份额（QDII基金为T+2日）；15:00后提交则顺延至下一交易日。确认后即可查看持仓和收益。非交易日（周末及法定节假日）提交的申请顺延至下一交易日处理。
基金赎回到账需要多长时间?	货币基金T+0快速赎回（单日限额1万元）或T+1普通赎回；债券基金T+2到T+3到账；混合基金和股票基金T+3到T+5到账；QDII基金T+7到T+10到账。赎回到账时间为交易日计算，遇节假日顺延。
基金申购和赎回有哪些费率?	申购费率：货币基金0申购费，债券基金0.08%-0.8%（XX科技享受1折优惠），混合基金0.15%-1.5%（1折优惠），股票基金0.15%-1.5%（1折优惠）。赎回费率：持有7天内赎回收取1.5%惩罚性赎回费，持有超过7天至30天收取0.75%，超过30天至365天收取0.5%，超过2年免赎回费。
什么是基金的七日年化收益率?	七日年化收益率是货币基金过去七天每万份基金份额净收益折合成的年收益率，是一个短期指标，反映近期的盈利水平。七日年化会每天变化，投资者应关注30日年化、半年年化等中长期指标，而非仅看单日七日年化。
什么是业绩比较基准?	业绩比较基准是基金设定的参考收益标准，不代表对投资者的实际收益承诺。例如"沪深300指数收益率×60%+中证全债指数收益率×40%"表示该混合基金的投资基准。实际收益可能高于或低于业绩比较基准。
如何在XX科技开户?	开户方式有三种：（1）线上开户——下载XX科技APP，点击注册，上传身份证正反面照片，进行人脸识别，绑定银行卡，完成风险测评即可；（2）线下开户——携带身份证和银行卡前往任意财富中心，由理财经理协助办理；（3）官网开户——访问www.xxtech.com在线开户。整个流程约10-15分钟。
开户需要哪些材料?	个人开户需准备：（1）本人有效身份证（二代居民身份证）原件；（2）本人名下银行借记卡（支持主流银行）；（3）本人实名认证的手机号。线下开户还需携带身份证原件进行核验。
什么是风险评估（KYC）?	风险评估即"了解你的客户"（Know Your Customer），是监管要求的必要流程。您需要回答一份涵盖收入、投资经验、风险承受能力、投资目标等维度的问卷，系统据此评定您的风险等级（C1保守型-C5激进型），并据此匹配适合的产品。评估结果有效期一年，到期需重新评估。
我的风险评估结果是什么含义?	风险评估分为五个等级：C1保守型（适合R1低风险产品，如货币基金）、C2稳健型（适合R1-R2产品，如债券基金、银行理财）、C3平衡型（适合R1-R3产品，如混合基金）、C4进取型（适合R1-R4产品，如股票基金、QDII）、C5激进型（可投资R1-R5全部风险等级产品）。
投资者适当性管理是什么?	投资者适当性管理是监管要求的核心制度，核心原则是"将适当的产品销售给适当的投资者"。具体要求：产品风险等级必须小于或等于客户的风险承受能力等级。如C2客户不能购买R3产品，除非客户签署《风险不匹配自愿购买确认书》并经过二次确认。
什么是合格投资者?	合格投资者是指具备相应风险识别能力和风险承担能力的投资者。私募基金和资管产品的合格投资者标准：（1）具有2年以上投资经历；（2）家庭金融净资产不低于300万元，或家庭总资产不低于500万元，或近三年本人年均收入不低于40万元；（3）单只私募基金投资金额不低于100万元。
公司有哪些投诉渠道?	投诉渠道包括：（1）拨打客服热线400-XXX-XXXX转投诉专线；（2）APP内"我的-帮助与反馈-我要投诉"；（3）发送邮件至complaint@xxtech.com；（4）前往任意财富中心现场投诉。简单投诉24小时内回复，复杂投诉3个工作日内出具解决方案。
反洗钱相关规定有哪些?	根据《反洗钱法》，客户开户需进行身份识别，大额交易（个人单笔或当日累计5万元以上）需提交大额交易报告。如发现客户交易行为异常（如频繁大额转账、资金快进快出、账户分散转入集中转出等），公司有义务向中国反洗钱监测分析中心报告可疑交易。请配合提供身份证件和资金来源证明。
购买保险产品和基金有什么不同?	保险产品具有保障功能，通常有固定期限（如10年、20年、终身），提前退保可能有本金损失；基金产品主要是投资功能，申赎灵活（开放式基金）。保险产品适合有明确保障需求（如养老、身故保障、重疾保障）的客户，基金适合追求资产增值的客户。购买保险产品有15天犹豫期，犹豫期内退保全额退款。
结构性存款安全吗?	结构性存款是在普通存款基础上嵌入金融衍生品（如期权）的产品，本金部分受存款保险制度保障（50万元以内），但收益部分与挂钩标的（如汇率、利率、指数）表现相关，实际收益可能高于或低于预期。结构性存款的风险等级通常为R2-R3，适合有一定风险承受能力的投资者。
什么是基金定投?	基金定投是指在固定时间（如每周/每月）以固定金额投资指定基金的投资方式。定投利用"平均成本法"平滑市场波动，适合长期投资（建议3年以上）。XX科技APP支持设置自动定投计划，最低每期100元起。历史数据显示，坚持定投3年以上的客户，正收益率超过90%。
如何修改绑定的银行卡?	修改银行卡方式：（1）APP操作——"我的-银行卡管理-更换银行卡"，需进行人脸识别验证；（2）线下办理——携带身份证和新银行卡至财富中心办理。注意：更换银行卡需确保原账户无在途交易，且新卡需为同一客户名下的同名银行卡。
什么是基金投顾服务?	基金投顾（基金投资顾问）是XX科技基于AI算法和专家研判，为客户提供基金组合投资建议的服务。客户授权后，投顾系统自动进行基金组合的构建、再平衡和调整。投顾服务年费率为管理资产规模的0.2%-0.5%，不额外收取申赎费用。目前提供"稳享人生""成长优选""全球配置"三种投顾策略。
公司的服务时间是什么?	线上服务：APP和官网支持7×24小时下单交易；人工客服时间为每日7:00-22:00。线下门店：周一至周日9:00-17:30（部分门店周末轮休）。VIP客户享有7×24小时专属客户经理热线服务。
什么是T日、T+1?	T日指交易日（工作日），即提交交易申请的当天。15:00前提交的申请按T日净值确认，15:00后提交的申请按T+1日净值确认。T+1指下一个交易日，以此类推。例如周五15:00后的申购，按周一（T+1）的净值确认，周六周日不计入交易日。
如何查询我的资产和收益?	查询方式：（1）APP查询——登录XX科技APP，首页即可查看总资产、持仓收益、累计收益；（2）官网查询——登录www.xxtech.com个人账户；（3）对账单——每月1日系统自动发送上月资产对账单至注册邮箱；（4）联系客户经理获取详细资产配置报告。
XX科技的理财产品安全吗?	XX科技是中国证监会、银保监会批准的持牌金融机构，所有代销产品均经过严格的产品准入评审。但需注意：除存款类产品受存款保险保障外，基金、理财等投资产品均不保本不保收益，投资者需根据自身风险承受能力审慎选择。公司严禁任何员工承诺保本保收益。
如何联系我的专属客户经理?	您可以通过以下方式联系客户经理：（1）APP内"我的-我的顾问"查看并联系；（2）拨打客服热线400-XXX-XXXX，提供身份信息后由客服转接；（3）前往最近财富中心，由前台为您安排。VIP客户可直接拨打客户经理工作手机。
什么是基金转换?	基金转换是指将持有的A基金份额直接转换为同一基金公司的B基金份额，无需先赎回再申购。转换可节省时间（T+1确认）和费用（仅需补差费率）。目前支持XXX家合作基金公司的产品互转，具体可在APP"基金转换"功能中操作。
什么是净值型理财?	净值型理财产品没有固定的预期收益率，产品净值随投资收益波动。投资者按照产品净值进行申购和赎回，实际收益取决于产品运作期间的投资收益。净值型理财是资管新规后的主流产品形态，打破了原来的刚性兑付。
